Bag	4017	1	Decade counter with decoded outputs
Bag	4015	10	Dual 4-bit serial shift register
Bag	4511	4	BCD-to-7-segment latch/decoder/driver
Bag	4019	1	Quad AND/OR Select gate
Bag	4081	1	Quad 2-input AND gate
Bag	4050	4	Hex non-inverting buffer / level shifter
Bag	4013	10	Dual D flip-flop
Bag	4511	25	BCD-to-7-segment latch/decoder/driver
Bag	4532	1	8-to-3 priority encoder
Bag	74HC280	1	9-bit parity generator/checker
Bag	4051	2	8-channel analog multiplexer/demultiplexer
Bag	4029	10	Presettable up/down binary/BCD counter
Bag	4072	1	Dual 4-input OR
Bag	4082	1	Dual 4-input AND
Bag	74HC688	1	8-bit identity comparator
Bag	4028	1	BCD-to-decimal decoder
Bag	74HC85	1	4-bit magnitude comparator
L1	4048	1	Expandable gate
L2	4048	1	Expandable gate
L3	4081	1	Quad AND
L4	4070	1	Quad XOR
L5	4013	1	Dual D FF
L6	4072	1	Dual OR
L7	4011	1	Quad NAND
L8	4073	1	Triple AND
L9	4071	1	Quad OR
L10	4071	1	Quad OR
L11	4063	1	4-bit comparator
L12	4063	1	4-bit comparator
L13	4063	1	4-bit comparator
R1	4069	1	Hex inverter
R2	4070	1	Quad XOR
R3	4081	1	Quad AND
R4	4093	1	Quad NAND Schmitt trigger
R5	WSI59520	1	Pipeline register
R6	4555	1	Dual Binary to 1-of-4 Decoder/Demultiplexer
R7	4015	1	Dual shift register
R8	4015	1	Dual shift register
R9	4015	1	Dual shift register
R10	4015	1	Dual shift register
R11	4015	1	Dual shift register
R12	4063	1	4-bit comparator
C 1.1	4070	1	Qual XOR
C 1.2	4081	1	Quad AND
C 1.3	4511	1	BCD	
C 1.4	4070	1	Quad XOR
C 1.5	4070	1	Quad XOR
C 1.6	4070	1	Quad XOR
C 1.7	4070	1	Quad XOR
C 1.8	4051	1	8-channel analog multiplexer
C 1.9	4070	1	Quad XOR
C 1.10	4019	1	Quad AND/OR select gate
C 1.11	40174	1	Hex D flip-flop
C 1.12	4017	1	Decade counter
C 2.1	4051	1	BCD-to-7-segment latch/decoder
C 2.2	74HC174	1	Hex D flip-flop
C 2.3	4511	1	BCD-to-7-segment latch/decoder
C 2.4	4511	1	BCD-to-7-segment latch/decoder
C 2.5	4029	1	Presettable up/down counter
C 2.6	4055	1	BCD display driver
C 2.7	4038	1	Quad NAND buffer
C 2.8	4511	1	BCD display driver
C 2.9	4511	1	BCD display driver
C 2.10	4020	1	14-Stage ripple-carry binary counter/divider
C 2.11	4017	1	Decade counter with decoded oOutput
C 2.12	40174	1	Hex D flip-flop
C 3.1	40105	1	FIFO memory
C 3.2	4032	1	Triple serial adder
C 3.3	4069	1	Hex inverter
C 3.4	4069	1	Hex inverter
C 3.5	4025	1	Triple NOR
C 3.6	4025	1	Triple NOR
C 3.7	4002	1	Dual 4-input NOR
C 3.8	4077	1	Quad XNOR
C 3.9	40105	1	FIFO memory
C 3.10	4013	1	Dual D flip-flop
C 3.11	4013	1	Dual D flip-flop
C 3.12	4035	1	Universal shift register
C 4.1	4035	1	Universal shift register
C 4.2	4015	1	Dual shift register
C 4.3	74HC194	1	Universal shift register
C 4.4	4093	1	Quad Schmitt NAND
C 4.5	4068	1	8-input NAND
C 4.6	4012	1	Dual 4-input NAND
C 4.7	4023	1	Triple NAND
C 4.8	4081	1	Quad AND
C 4.9	4081	1	Quad AND
C 4.10	4015	1	Dual shift register
C 4.11	4008	1	Adder
C 4.12	4052	1	Dual analog multiplexer
